policy,step,case,donor_step,message,accepted,before,after
constant,17,F02_Mary,-1,"{""coordinate"": 17, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""e08515ebdc6f919f3867602e6dd88e495942698ba350701008a586688062b8a4"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 17}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,18,F00_John,-1,"{""coordinate"": 18, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""4a931cbebe38b1f715122c3ad3971c57893fd7b2a554179e8684c0346e16d60b"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 18}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,19,F01_Sarah,-1,"{""coordinate"": 19, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""a20757a5bca0fe26ede84354f2ee1dd68607e04a890fe259592f4e721c90cc43"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 19}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,20,F00_Mary,-1,"{""coordinate"": 0, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""cd74fcd664b7efc07424fe875f16e0a50ff03acbb99c762cf43b70f7833f82d7"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 20}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,21,F03_Sarah,-1,"{""coordinate"": 1, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""e834aa89e2a0b0071156bf7f4a9e45571279939f21fd7d358ad0f6bd48a9c727"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 21}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,22,F03_Tom,-1,"{""coordinate"": 2, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""5f61a07b746a68335674a14b25e42db44a466c1535b154f4943899de79902d5b"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 22}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,23,F02_John,-1,"{""coordinate"": 3, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""f9b4ad6fbc262aac87388789423b02e1c41c619fefed85884500f1feee452443"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 23}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,24,F03_Sarah,-1,"{""coordinate"": 4, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""f1ea8e08090dcd70fb6e9b154cabf3192a80eddafbfe8a626ff716b672ec2df1"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 24}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,25,F00_Mary,-1,"{""coordinate"": 5, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""3c6c80eb6a47b72b3813ac35f933e7e4806365a9080a0c05e27159f2c3bcbb1d"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 25}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,26,F00_John,-1,"{""coordinate"": 6, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""b9e3697f2572539345053bc76da1eedb9d0c2e8c4582f08f82124f5fb41b574a"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 26}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
