compiled_row_ordinal,cell_type,compiled_response,compiled_count,candidate_led_group_count,candidate_led_group_ordinals,comparison,derived_response,complete_window_count,response_abs_difference,amplitude_agrees,count_agrees,candidate_mean_min,candidate_mean_max
43,pR7,0.15577308105470025,15.0,1,[2622],one_led_group,0.15577308105470025,15,0.0,True,True,0.15577308105470025,0.15577308105470025
44,pR7,0.7072209948034965,28.0,1,[2623],one_led_group,0.7072209948034965,28,0.0,True,True,0.7072209948034965,0.7072209948034965
45,pR7,0.5290336267281088,17.0,1,[2624],one_led_group,0.5290336267281087,17,1.1102230246251565e-16,True,True,0.5290336267281087,0.5290336267281087
46,pR7,0.7598940931065995,16.0,1,[2625],one_led_group,0.7598940931065995,16,0.0,True,True,0.7598940931065995,0.7598940931065995
47,pR7,0.6102112447974776,37.0,1,[2626],one_led_group,0.6102112447974776,37,0.0,True,True,0.6102112447974776,0.6102112447974776
48,pR7,0.7194725054319099,7.0,1,[2627],one_led_group,0.503268114013004,8,0.2162043914189059,False,False,0.503268114013004,0.503268114013004
49,pR7,0.6451446826644716,16.0,1,[2628],one_led_group,0.6451446826644716,16,0.0,True,True,0.6451446826644716,0.6451446826644716
50,pR7,0.11054200640081994,119.0,1,[2629],one_led_group,0.12649414817282734,122,0.01595214177200739,False,False,0.12649414817282734,0.12649414817282734
51,pR7,0.39942922468776576,17.0,1,[2630],one_led_group,0.39942922468776565,17,1.1102230246251565e-16,True,True,0.39942922468776565,0.39942922468776565
52,pR7,1.0587285495411194,45.0,1,[2631],one_led_group,1.0537219205760295,47,0.005006628965089854,False,False,1.0537219205760295,1.0537219205760295
53,pR7,0.599484885645932,25.0,1,[2632],one_led_group,0.5190656767530617,27,0.08041920889287035,False,False,0.5190656767530617,0.5190656767530617
54,pR7,0.9001946569315005,11.0,1,[2633],one_led_group,0.8822514298373144,12,0.017943227094186054,False,False,0.8822514298373144,0.8822514298373144
55,pR7,0.131705484278693,24.0,1,[2634],one_led_group,0.10525085867500719,26,0.026454625603685805,False,False,0.10525085867500719,0.10525085867500719
56,pR7,0.1724776978360594,18.0,1,[2635],one_led_group,0.1724776978360594,18,0.0,True,True,0.1724776978360594,0.1724776978360594
57,pR7,0.03627274325089943,20.0,1,[2636],one_led_group,0.07933806328337102,21,0.04306532003247159,False,False,0.07933806328337102,0.07933806328337102
58,pR7,-0.024374112075242937,14.0,1,[2637],one_led_group,-0.024374112075242944,14,6.938893903907228e-18,True,True,-0.024374112075242944,-0.024374112075242944
59,pR7,0.024171320301219452,32.0,1,[2638],one_led_group,0.024171320301219455,32,3.469446951953614e-18,True,True,0.024171320301219455,0.024171320301219455
60,pR7,0.003719953748004795,18.0,1,[2639],one_led_group,0.003719953748004797,18,1.734723475976807e-18,True,True,0.003719953748004797,0.003719953748004797
61,pR7,0.03820994622682462,33.0,1,[2640],one_led_group,0.06915974373236561,34,0.030949797505540985,False,False,0.06915974373236561,0.06915974373236561
62,pR7,0.016118698836632056,33.0,1,[2641],one_led_group,0.02673261102430851,34,0.010613912187676454,False,False,0.02673261102430851,0.02673261102430851
63,pR7,-0.004285680461188668,11.0,1,[2643],one_led_group,-0.00024378985851380695,12,0.004041890602674861,False,False,-0.00024378985851380695,-0.00024378985851380695
64,pR7,0.06259595219153248,11.0,1,[2644],one_led_group,0.06253303863317958,12,6.291355835290335e-05,False,False,0.06253303863317958,0.06253303863317958
65,pR7,0.08214799825635984,43.0,1,[2645],one_led_group,0.083479728774516,45,0.00133173051815616,False,False,0.083479728774516,0.083479728774516
66,pR7,0.6326382726626402,14.0,1,[2646],one_led_group,0.6326382726626402,14,0.0,True,True,0.6326382726626402,0.6326382726626402
67,pR7,0.023863775714494193,28.0,1,[2647],one_led_group,0.027685977848749724,29,0.0038222021342555305,False,False,0.027685977848749724,0.027685977848749724
68,pR7,0.33167747793942876,23.0,1,[2648],one_led_group,0.33167747793942864,23,1.1102230246251565e-16,True,True,0.33167747793942864,0.33167747793942864
